<TICKER> <PER> <DATE> <TIME> <CLOSE>
MTSS D 20191127 000000 306.3500000
MTSS D 20191128 000000 306.7000000
MTSS D 20191129 000000 304.5000000
MTSS D 20191202 000000 305.8500000
MTSS D 20191203 000000 303.1000000
MTSS D 20191204 000000 303.6000000
MTSS D 20191205 000000 304.1000000
MTSS D 20191206 000000 300.8000000
MTSS D 20191209 000000 302.5000000
MTSS D 20191210 000000 302.4000000
MTSS D 20191211 000000 305.2000000
MTSS D 20191212 000000 305.1000000
MTSS D 20191213 000000 304.4000000
MTSS D 20191216 000000 306.8500000
MTSS D 20191217 000000 311.2000000
MTSS D 20191218 000000 313.8500000
MTSS D 20191219 000000 312.3000000
MTSS D 20191220 000000 313.7000000
MTSS D 20191223 000000 314.0500000
MTSS D 20191224 000000 314.0000000
MTSS D 20191225 000000 318.0500000
MTSS D 20191226 000000 319.7000000
MTSS D 20191227 000000 320.0000000
MTSS D 20191230 000000 319.9500000
MTSS D 20200103 000000 322.1000000
MTSS D 20200106 000000 323.4500000
MTSS D 20200108 000000 328.1500000
MTSS D 20200109 000000 324.3000000
MTSS D 20200110 000000 319.4000000
MTSS D 20200113 000000 319.4500000
MTSS D 20200114 000000 317.3000000
MTSS D 20200115 000000 318.6500000
MTSS D 20200116 000000 319.8000000
MTSS D 20200117 000000 321.1500000
MTSS D 20200120 000000 327.2000000
MTSS D 20200121 000000 328.7000000
MTSS D 20200122 000000 333.8000000
MTSS D 20200123 000000 329.9500000
MTSS D 20200124 000000 336.4500000
MTSS D 20200127 000000 326.7500000
MTSS D 20200128 000000 327.2500000
MTSS D 20200129 000000 328.5000000
MTSS D 20200130 000000 330.5000000
MTSS D 20200131 000000 326.4000000
MTSS D 20200203 000000 331.9500000
MTSS D 20200204 000000 332.9500000
MTSS D 20200205 000000 331.4000000
MTSS D 20200206 000000 331.0000000
MTSS D 20200207 000000 331.0000000
MTSS D 20200210 000000 330.7000000
MTSS D 20200211 000000 332.7000000
MTSS D 20200212 000000 339.0000000
MTSS D 20200213 000000 337.8000000
MTSS D 20200214 000000 340.5500000
MTSS D 20200217 000000 341.0000000
MTSS D 20200218 000000 341.4000000
MTSS D 20200219 000000 348.1000000
MTSS D 20200220 000000 347.5000000
MTSS D 20200221 000000 348.0000000
MTSS D 20200225 000000 337.5000000
MTSS D 20200226 000000 339.0000000
MTSS D 20200227 000000 329.0000000
MTSS D 20200228 000000 320.5000000
MTSS D 20200302 000000 327.2000000
MTSS D 20200303 000000 328.2500000
MTSS D 20200304 000000 328.7500000
MTSS D 20200305 000000 329.5500000
MTSS D 20200306 000000 318.8000000
MTSS D 20200310 000000 294.8000000
MTSS D 20200311 000000 293.3000000
MTSS D 20200312 000000 272.9500000
MTSS D 20200313 000000 269.0000000
MTSS D 20200316 000000 267.1000000
MTSS D 20200317 000000 268.4500000
MTSS D 20200318 000000 256.7500000
MTSS D 20200319 000000 265.5000000
MTSS D 20200320 000000 276.5000000
MTSS D 20200323 000000 262.1000000
MTSS D 20200324 000000 280.0000000
MTSS D 20200325 000000 278.3500000
MTSS D 20200326 000000 285.9500000
MTSS D 20200327 000000 290.0000000
MTSS D 20200330 000000 296.9500000
MTSS D 20200331 000000 299.1000000
MTSS D 20200401 000000 297.0000000
MTSS D 20200402 000000 299.3000000
MTSS D 20200403 000000 295.6000000
MTSS D 20200406 000000 308.8500000
MTSS D 20200407 000000 308.7000000
MTSS D 20200408 000000 313.8500000
MTSS D 20200409 000000 310.4500000
MTSS D 20200410 000000 310.9500000
MTSS D 20200413 000000 308.0000000
MTSS D 20200414 000000 310.9500000
MTSS D 20200415 000000 304.0000000
MTSS D 20200416 000000 303.4000000
MTSS D 20200417 000000 305.3500000
MTSS D 20200420 000000 306.0000000
MTSS D 20200421 000000 302.0000000
MTSS D 20200422 000000 309.7000000
MTSS D 20200423 000000 314.2500000
MTSS D 20200424 000000 306.8000000
MTSS D 20200427 000000 311.4000000
MTSS D 20200428 000000 313.5000000
MTSS D 20200429 000000 319.2000000
MTSS D 20200430 000000 319.6000000
MTSS D 20200504 000000 316.5500000
MTSS D 20200505 000000 320.4000000
MTSS D 20200506 000000 318.0000000
MTSS D 20200507 000000 320.3000000
MTSS D 20200508 000000 325.3000000
MTSS D 20200512 000000 323.6000000
MTSS D 20200513 000000 318.4500000
MTSS D 20200514 000000 315.1500000
MTSS D 20200515 000000 320.1500000
MTSS D 20200518 000000 325.5000000
MTSS D 20200519 000000 327.2500000
MTSS D 20200520 000000 332.5500000
MTSS D 20200521 000000 328.7000000
MTSS D 20200522 000000 327.1000000
MTSS D 20200525 000000 332.2000000
MTSS D 20200526 000000 331.9000000
MTSS D 20200527 000000 326.5000000
MTSS D 20200528 000000 324.0500000
MTSS D 20200529 000000 320.0000000
MTSS D 20200601 000000 319.6000000
MTSS D 20200602 000000 326.7000000
MTSS D 20200603 000000 329.7000000
MTSS D 20200604 000000 323.5000000
MTSS D 20200605 000000 326.2500000
MTSS D 20200608 000000 325.5000000
MTSS D 20200609 000000 329.1500000
