<TICKER> <PER> <DATE> <TIME> <CLOSE>
DSKY D 20200127 000000 116.0000000
DSKY D 20200128 000000 116.0000000
DSKY D 20200129 000000 118.3000000
DSKY D 20200130 000000 116.0200000
DSKY D 20200131 000000 115.0400000
DSKY D 20200203 000000 116.0000000
DSKY D 20200204 000000 116.4000000
DSKY D 20200205 000000 116.0000000
DSKY D 20200206 000000 115.6600000
DSKY D 20200207 000000 114.0000000
DSKY D 20200210 000000 115.5000000
DSKY D 20200211 000000 115.6400000
DSKY D 20200212 000000 116.9000000
DSKY D 20200213 000000 116.5600000
DSKY D 20200214 000000 118.0000000
DSKY D 20200217 000000 118.5400000
DSKY D 20200218 000000 118.4800000
DSKY D 20200219 000000 118.8200000
DSKY D 20200220 000000 119.1400000
DSKY D 20200221 000000 119.0000000
DSKY D 20200225 000000 117.9200000
DSKY D 20200226 000000 115.8000000
DSKY D 20200227 000000 112.4400000
DSKY D 20200228 000000 111.8000000
DSKY D 20200302 000000 112.5000000
DSKY D 20200303 000000 112.6000000
DSKY D 20200304 000000 109.1600000
DSKY D 20200305 000000 111.5400000
DSKY D 20200306 000000 105.2800000
DSKY D 20200310 000000 102.5800000
DSKY D 20200311 000000 100.1400000
DSKY D 20200312 000000 91.9800000
DSKY D 20200313 000000 95.4800000
DSKY D 20200316 000000 84.4000000
DSKY D 20200317 000000 78.0000000
DSKY D 20200318 000000 74.7200000
DSKY D 20200319 000000 85.6000000
DSKY D 20200320 000000 89.0000000
DSKY D 20200323 000000 84.5000000
DSKY D 20200324 000000 87.7000000
DSKY D 20200325 000000 91.0800000
DSKY D 20200326 000000 89.0000000
DSKY D 20200327 000000 88.5000000
DSKY D 20200330 000000 89.6400000
DSKY D 20200331 000000 91.0200000
DSKY D 20200401 000000 90.1200000
DSKY D 20200402 000000 90.6200000
DSKY D 20200403 000000 94.4200000
DSKY D 20200406 000000 97.8000000
DSKY D 20200407 000000 98.1200000
DSKY D 20200408 000000 100.0000000
DSKY D 20200409 000000 101.4600000
DSKY D 20200410 000000 100.3600000
DSKY D 20200413 000000 98.1000000
DSKY D 20200414 000000 100.5000000
DSKY D 20200415 000000 95.4600000
DSKY D 20200416 000000 93.0000000
DSKY D 20200417 000000 91.3000000
DSKY D 20200420 000000 90.0200000
DSKY D 20200421 000000 88.0000000
DSKY D 20200422 000000 87.1200000
DSKY D 20200423 000000 88.1000000
DSKY D 20200424 000000 86.8200000
DSKY D 20200427 000000 87.0400000
DSKY D 20200428 000000 88.9800000
DSKY D 20200429 000000 91.2400000
DSKY D 20200430 000000 87.8000000
DSKY D 20200504 000000 86.5000000
DSKY D 20200505 000000 87.2200000
DSKY D 20200506 000000 86.6000000
DSKY D 20200507 000000 86.2000000
DSKY D 20200508 000000 86.0400000
DSKY D 20200512 000000 86.1000000
DSKY D 20200513 000000 85.9000000
DSKY D 20200514 000000 83.7000000
DSKY D 20200515 000000 84.2000000
DSKY D 20200518 000000 86.5400000
DSKY D 20200519 000000 86.9400000
DSKY D 20200520 000000 95.1000000
DSKY D 20200521 000000 94.8800000
DSKY D 20200522 000000 96.1200000
DSKY D 20200525 000000 95.9600000
DSKY D 20200526 000000 97.8000000
DSKY D 20200527 000000 96.0000000
DSKY D 20200528 000000 97.9800000
DSKY D 20200529 000000 99.0200000
DSKY D 20200601 000000 99.0400000
DSKY D 20200602 000000 98.0600000
DSKY D 20200603 000000 100.0400000
DSKY D 20200604 000000 101.2000000
DSKY D 20200605 000000 100.9400000
DSKY D 20200608 000000 98.0000000
DSKY D 20200609 000000 98.5000000
DSKY D 20200610 000000 98.5200000
DSKY D 20200611 000000 97.9000000
DSKY D 20200615 000000 98.1000000
DSKY D 20200616 000000 96.8000000
DSKY D 20200617 000000 97.4000000
DSKY D 20200618 000000 99.2400000
DSKY D 20200619 000000 103.4800000
DSKY D 20200622 000000 102.6000000
DSKY D 20200623 000000 101.8400000
DSKY D 20200625 000000 101.1000000
DSKY D 20200626 000000 101.3000000
DSKY D 20200629 000000 100.5400000
DSKY D 20200630 000000 100.6000000
DSKY D 20200702 000000 102.1000000
DSKY D 20200703 000000 103.5000000
DSKY D 20200706 000000 106.7800000
DSKY D 20200707 000000 106.1000000
DSKY D 20200708 000000 106.3000000
DSKY D 20200709 000000 105.3000000
DSKY D 20200710 000000 106.8000000
DSKY D 20200713 000000 108.8600000
DSKY D 20200714 000000 106.8000000
DSKY D 20200715 000000 108.5400000
DSKY D 20200716 000000 110.2000000
DSKY D 20200717 000000 112.5400000
DSKY D 20200720 000000 112.7600000
DSKY D 20200721 000000 115.2800000
DSKY D 20200722 000000 116.4000000
DSKY D 20200723 000000 116.7800000
DSKY D 20200724 000000 115.1000000
DSKY D 20200727 000000 115.0400000
DSKY D 20200728 000000 115.4000000
DSKY D 20200729 000000 115.4000000
DSKY D 20200730 000000 115.6200000
DSKY D 20200731 000000 116.9000000
DSKY D 20200803 000000 118.1200000
DSKY D 20200804 000000 119.4000000
DSKY D 20200805 000000 121.5800000
DSKY D 20200806 000000 121.4400000
DSKY D 20200807 000000 120.1200000
DSKY D 20200810 000000 119.1800000
DSKY D 20200811 000000 120.0000000
DSKY D 20200812 000000 120.9600000
DSKY D 20200813 000000 121.5800000
DSKY D 20200814 000000 121.4800000
DSKY D 20200817 000000 120.3000000
DSKY D 20200818 000000 119.9600000
DSKY D 20200819 000000 120.3200000
DSKY D 20200820 000000 119.4400000
DSKY D 20200821 000000 120.3600000
DSKY D 20200824 000000 123.5000000
DSKY D 20200825 000000 122.0000000
DSKY D 20200826 000000 123.1000000
DSKY D 20200827 000000 124.6600000
