<TICKER> <PER> <DATE> <TIME> <CLOSE>
LNZL D 20200109 000000 7790.0000000
LNZL D 20200110 000000 7710.0000000
LNZL D 20200113 000000 8150.0000000
LNZL D 20200114 000000 8010.0000000
LNZL D 20200115 000000 7950.0000000
LNZL D 20200116 000000 7910.0000000
LNZL D 20200117 000000 7930.0000000
LNZL D 20200120 000000 7970.0000000
LNZL D 20200121 000000 7950.0000000
LNZL D 20200122 000000 7950.0000000
LNZL D 20200123 000000 7940.0000000
LNZL D 20200124 000000 7970.0000000
LNZL D 20200127 000000 8370.0000000
LNZL D 20200128 000000 8170.0000000
LNZL D 20200129 000000 8150.0000000
LNZL D 20200130 000000 8240.0000000
LNZL D 20200131 000000 8190.0000000
LNZL D 20200203 000000 8200.0000000
LNZL D 20200204 000000 8070.0000000
LNZL D 20200205 000000 8080.0000000
LNZL D 20200206 000000 8090.0000000
LNZL D 20200207 000000 8050.0000000
LNZL D 20200210 000000 8110.0000000
LNZL D 20200211 000000 8050.0000000
LNZL D 20200212 000000 8050.0000000
LNZL D 20200213 000000 8100.0000000
LNZL D 20200214 000000 8060.0000000
LNZL D 20200217 000000 8090.0000000
LNZL D 20200218 000000 8100.0000000
LNZL D 20200219 000000 8030.0000000
LNZL D 20200220 000000 8080.0000000
LNZL D 20200221 000000 8280.0000000
LNZL D 20200225 000000 8450.0000000
LNZL D 20200226 000000 8220.0000000
LNZL D 20200227 000000 8320.0000000
LNZL D 20200228 000000 7480.0000000
LNZL D 20200302 000000 7410.0000000
LNZL D 20200303 000000 7500.0000000
LNZL D 20200304 000000 7490.0000000
LNZL D 20200305 000000 7450.0000000
LNZL D 20200306 000000 7420.0000000
LNZL D 20200310 000000 7290.0000000
LNZL D 20200311 000000 7220.0000000
LNZL D 20200312 000000 6280.0000000
LNZL D 20200313 000000 6400.0000000
LNZL D 20200316 000000 5830.0000000
LNZL D 20200317 000000 6100.0000000
LNZL D 20200318 000000 6240.0000000
LNZL D 20200319 000000 6370.0000000
LNZL D 20200320 000000 6440.0000000
LNZL D 20200323 000000 6970.0000000
LNZL D 20200324 000000 7220.0000000
LNZL D 20200325 000000 7250.0000000
LNZL D 20200326 000000 7770.0000000
LNZL D 20200327 000000 7660.0000000
LNZL D 20200330 000000 8300.0000000
LNZL D 20200331 000000 8540.0000000
LNZL D 20200401 000000 8540.0000000
LNZL D 20200402 000000 8390.0000000
LNZL D 20200403 000000 8170.0000000
LNZL D 20200406 000000 8290.0000000
LNZL D 20200407 000000 8260.0000000
LNZL D 20200408 000000 8200.0000000
LNZL D 20200409 000000 8180.0000000
LNZL D 20200410 000000 8280.0000000
LNZL D 20200413 000000 8320.0000000
LNZL D 20200414 000000 8710.0000000
LNZL D 20200415 000000 9100.0000000
LNZL D 20200416 000000 9260.0000000
LNZL D 20200417 000000 8860.0000000
LNZL D 20200420 000000 8730.0000000
LNZL D 20200421 000000 8840.0000000
LNZL D 20200422 000000 8850.0000000
LNZL D 20200423 000000 8940.0000000
LNZL D 20200424 000000 8840.0000000
LNZL D 20200427 000000 8760.0000000
LNZL D 20200428 000000 8660.0000000
LNZL D 20200429 000000 8550.0000000
LNZL D 20200430 000000 8530.0000000
LNZL D 20200504 000000 8530.0000000
LNZL D 20200505 000000 8490.0000000
LNZL D 20200506 000000 8420.0000000
LNZL D 20200507 000000 8440.0000000
LNZL D 20200508 000000 8430.0000000
LNZL D 20200512 000000 8380.0000000
LNZL D 20200513 000000 8470.0000000
LNZL D 20200514 000000 8660.0000000
LNZL D 20200515 000000 8530.0000000
LNZL D 20200518 000000 8610.0000000
LNZL D 20200519 000000 8530.0000000
LNZL D 20200520 000000 8630.0000000
LNZL D 20200521 000000 8590.0000000
LNZL D 20200522 000000 8560.0000000
LNZL D 20200525 000000 8550.0000000
LNZL D 20200526 000000 8500.0000000
LNZL D 20200527 000000 8620.0000000
LNZL D 20200528 000000 8680.0000000
LNZL D 20200529 000000 8690.0000000
LNZL D 20200601 000000 8690.0000000
LNZL D 20200602 000000 8680.0000000
LNZL D 20200603 000000 8570.0000000
LNZL D 20200604 000000 8490.0000000
LNZL D 20200605 000000 8170.0000000
LNZL D 20200608 000000 8210.0000000
LNZL D 20200609 000000 8430.0000000
LNZL D 20200610 000000 8440.0000000
